부처명,사업수,2025예산_백만원,2026예산_백만원,증감액_백만원,증감률_%,신규사업수,증가사업수,감소사업수,동결사업수
과학기술정보통신부,192,6748485.0,8792410.0,3745693.0,30.3,77,146,39,7
중소벤처기업부,16,5734370.0,5908106.0,173736.0,3.0,2,11,3,2
산업통상부,51,2646276.0,3313764.0,744904.0,25.2,20,43,8,0
교육부,11,1578400.0,2155687.0,577287.0,36.6,2,9,1,1
고용노동부,11,1654129.0,1563297.0,-74832.0,-5.5,1,8,3,0
기후에너지환경부,33,619057.0,1124538.0,435796.0,81.7,15,28,4,1
금융위원회,3,6981.0,1007045.0,1000064.0,14325.5,1,2,1,0
국방부,7,528396.0,586067.0,57671.0,10.9,0,6,1,0
보건복지부,20,169400.0,438881.0,271665.0,159.1,8,17,1,2
해양수산부,27,265962.0,358093.0,92331.0,34.6,11,20,3,4
국토교통부,40,120396.0,340128.0,219632.0,182.5,19,33,7,0
행정안전부,12,180042.0,220812.0,46162.0,22.6,1,7,5,0
농림축산식품부,9,79275.0,201563.0,122288.0,154.3,5,7,2,0
산림청,10,166232.0,184280.0,73335.0,10.9,3,10,0,0
법무부,5,144304.0,156074.0,2052.0,8.2,0,3,2,0
경찰청,11,138483.0,153325.0,14842.0,10.7,1,7,3,1
문화체육관광부,12,143769.0,144741.0,972.0,0.7,5,9,3,0
우주항공청,4,113217.0,127192.0,13975.0,12.3,1,4,0,0
대법원,2,106128.0,113797.0,7669.0,7.2,0,1,1,0
국세청,3,104629.0,103454.0,-1175.0,-1.1,0,2,1,0
관세청,1,63638.0,63129.0,-509.0,-0.8,0,0,1,0
식품의약품안전처,6,22914.0,52554.0,30948.0,129.4,3,6,0,0
농촌진흥청,8,25453.0,50551.0,25098.0,98.6,6,7,1,0
기상청,3,48383.0,48881.0,498.0,1.0,0,2,1,0
해양경찰청,5,26446.0,44981.0,18535.0,70.1,1,5,0,0
질병관리청,4,30111.0,38006.0,7895.0,26.2,1,2,2,0
방송미디어통신위원회,4,20467.0,27978.0,7511.0,36.7,1,2,1,1
국가데이터처,5,24331.0,26571.0,2240.0,9.2,0,5,0,0
기획예산처,1,20770.0,22317.0,1547.0,7.4,0,1,0,0
법제처,1,8046.0,20771.0,12725.0,158.2,0,1,0,0
소방청,3,15244.0,20515.0,5271.0,34.6,1,2,1,0
조달청,1,18592.0,19859.0,1267.0,6.8,0,1,0,0
병무청,1,12918.0,16005.0,3087.0,23.9,0,1,0,0
개인정보보호위원회,3,5064.0,15254.0,10190.0,201.2,1,3,0,0
외교부,1,13254.0,13962.0,708.0,5.3,0,1,0,0
감사원,1,16111.0,10300.0,-5811.0,-36.1,0,0,1,0
인사혁신처,2,15272.0,9405.0,-5867.0,-38.4,0,0,2,0
국가유산청,1,0.0,4420.0,4420.0,,1,1,0,0
국민권익위원회,1,3346.0,3895.0,549.0,16.4,0,1,0,0
방위사업청,1,0.0,627.0,627.0,,1,1,0,0
지식재산처,1,0.0,0.0,0.0,,1,0,0,1
